2	105995880	106004779
11	69261150	69264549
4	187760050	187762849
18	74777530	74781799
17	41951630	41956679
10	93642950	93645049
5	76085030	76088849
2	1654950	1661929
1	203370430	203379079
9	110510650	110515049
17	79778930	79782799
2	55338050	55341179
3	194797900	194806399
11	2121830	2125679
4	7841700	7846849
5	149066280	149074249
5	147846830	147855179
5	52774380	52779599
17	16188130	16191949
7	137665030	137670129
17	2930750	2937799
22	27830480	27832579
4	53733880	53738499
18	74810000	74816499
9	113341100	113343129
15	71125850	71129349
9	132889350	132893499
6	20180950	20184749
20	10488330	10490949
11	64657150	64663099
19	45949500	45955799
11	121541230	121543279
17	73585450	73588399
8	98955050	98958279
9	140208350	140212529
4	148401030	148405129
3	14244380	14247749
7	137616700	137619479
13	53171800	53175749
1	236133780	236136979
11	114178000	114181049
10	11567080	11569099
21	46364500	46383849
1	52105750	52111449
8	8203380	8207149
21	36256180	36261749
5	755800	761729
6	25295800	25300849
3	99355480	99361399
6	36701630	36704079
6	11317330	11319429
11	121592650	121595349
2	26941880	26948899
4	114898700	114901699
6	15511050	15515999
17	9945050	9947099
10	3976250	3979699
9	140144030	140149999
7	134450630	134452829
1	87594550	87599599
5	171855600	171859349
14	50436650	50440499
10	71216650	71235679
16	89588980	89592979
18	65183480	65186129
16	83930830	83940479
17	21292630	21295199
8	125405600	125409029
5	76010400	76015449
9	139813750	139816099
2	224588980	224591299
2	38299030	38302099
6	168453650	168457429
6	164163080	164173329
22	35714230	35717199
5	1116580	1129679
10	95223130	95232129
8	38560900	38562899
1	223211500	223215349
8	25837930	25844199
14	73334550	73338899
2	38384230	38386249
1	67140630	67144229
18	60928800	60931279
6	26304600	26306729
20	55730350	55733899
16	84168650	84174149
5	138730080	138733299
10	129789080	129791249
5	171837230	171849079
8	95002550	95005279
8	22453030	22464799
2	175497100	175500379
4	12487400	12489449
10	50312080	50316249
13	31438500	31440499
12	117529630	117533099
6	130004100	130007099
13	50931000	50932999
15	71086130	71088349
15	99963730	99968799
10	88842800	88845749
15	101897550	101899729
10	694600	697729
12	117463480	117492879
21	43061030	43063899
8	125684950	125691299
17	535650	537699
1	212698130	212701299
3	197155580	197157749
10	121106500	121110329
11	69310180	69312849
6	35629730	35631829
12	19060380	19062549
11	64006730	64011049
6	27485830	27487979
7	1550150	1555199
4	185263550	185271629
12	820750	830479
16	86897700	86902199
18	74764150	74771699
5	170177630	170180749
10	29947400	29951349
17	62403900	62407599
8	41511200	41530879
10	95217100	95222549
9	112541880	112545699
11	61319400	61321479
6	43273300	43276279
13	110520530	110524349
11	67394880	67397079
6	25279050	25281649
17	73482830	73486199
1	61448380	61451799
16	73205380	73208699
12	108730630	108733129
19	4573680	4579899
1	19739850	19744399
18	46447830	46485279
19	18478300	18483199
1	95466850	95468879
18	60903730	60907249
4	8611250	8614599
16	55508150	55511249
10	64395880	64398099
1	95411480	95413529
14	105884430	105890499
15	48681850	48686229
5	156966550	156969529
17	76261450	76264499
1	117423700	117426279
5	64356900	64360079
17	48921780	48925899
1	117419830	117422999
5	81642550	81646229
1	117528830	117532099
14	61686050	61688079
20	56013850	56019079
4	186496600	186498729
1	230358900	230360999
7	137671000	137675579
19	56159080	56163729
14	52476980	52483249
1	90306930	90310849
22	19560650	19562729
1	85928750	85932249
9	135644200	135646529
8	116677100	116682699
15	99969250	99986549
13	51832950	51838499
9	139816400	139825629
3	8602450	8605599
4	77531830	77533999
2	238164030	238166779
1	218543080	218546849
6	164522450	164533699
15	71093850	71095899
11	103643930	103645949
3	64205650	64212849
5	14439350	14443279
4	184794050	184799749
14	69747900	69751799
2	106006700	106011599
10	134327830	134336029
5	170213550	170217499
11	64566650	64572699
16	31122030	31126299
13	114056350	114060799
18	13498950	13504499
4	190759500	190761679
8	70403850	70407399
14	54831300	54834429
9	140088680	140090899
13	110525180	110527899
14	85994900	85997029
5	171830050	171832049
3	172230000	172232129
12	280000	292479
4	86645650	86648899
19	46070100	46073929
22	19969350	19975099
15	68770150	68773099
2	38402050	38407279
5	172442450	172446299
16	57301780	57305199
14	105627950	105630129
19	16544050	16548379
22	44540050	44542079
5	169740630	169742999
2	21492430	21494479
4	8379400	8384099
18	20935530	20939399
10	85626880	85628949
22	24813880	24818099
3	99376400	99380379
20	58608180	58610849
16	73075550	73094829
19	2667200	2671779
5	75985180	75988899
8	38568950	38571679
6	25301900	25303999
19	15232930	15237899
3	105087030	105089199
9	133698100	133702679
1	147717500	147719579
17	76138880	76142799
7	47822450	47824549
2	223914350	223923129
15	57719230	57721649
18	55442600	55449899
5	141946900	141948999
21	18982300	18985429
3	27597830	27602099
8	144582000	144586829
1	3371530	3374849
11	69301500	69305099
15	62457530	62459779
8	1716680	1718699
7	129995100	129997229
6	43478000	43481749
11	44598230	44602279
1	62104530	62107499
8	145546230	145550849
9	95362630	95364749
9	133717450	133725049
1	117492080	117495199
1	236079350	236081749
9	124470930	124473899
3	42883150	42889499
19	49841400	49845099
13	24000300	24003149
17	79280000	79288399
9	123702950	123704949
8	144659150	144662599
9	138995900	139003579
11	2007080	2010879
14	54814580	54817699
6	136398230	136400329
1	112271800	112278179
5	674330	676379
20	10615500	10619399
15	26093750	26097029
4	4308400	4311199
4	186933700	186939029
14	51269430	51271429
15	67437400	67444549
1	87614650	87619099
5	167651980	167654399
7	107577130	107582349
12	3150230	3155799
15	78494530	78498999
1	155137550	155141279
6	41470400	41475199
7	137675900	137688499
12	6739500	6743499
2	219695200	219697229
4	186461930	186464299
9	139458600	139468699
11	44779900	44789979
1	168695080	168697729
9	139440700	139445029
1	39656450	39663179
10	30011430	30015749
2	39766680	39769749
7	30731250	30735499
22	27609030	27611999
12	131485450	131489079
22	46526530	46528549
2	106011650	106017129
6	43087580	43090349
16	89356850	89358879
18	67066750	67069899
3	30721680	30724379
11	61343900	61345999
21	36574430	36583249
9	99270280	99272429
3	12966880	12977599
5	159304130	159307279
16	17470680	17474249
1	145022380	145024379
10	29927800	29939149
5	149059650	149065749
11	34294150	34298179
14	56470780	56472829
9	95369000	95372879
3	127628230	127631279
10	134219530	134223249
15	67170650	67178099
12	117522080	117527599
12	94601050	94603079
22	20007100	20014429
9	119232480	119234649
7	137561430	137565449
9	108057830	108063229
8	94893100	94895099
4	152724650	152731049
2	23719580	23722599
1	95419030	95422449
6	132450580	132455679
5	14447630	14453599
1	236045530	236047629
13	113374650	113389649
19	8430330	8434329
9	139873150	139879049
5	77839900	77845979
1	95317750	95322179
1	68083380	68085399
16	20921200	20924279
11	123063850	123067399
8	144289550	144292349
11	64083730	64089799
6	164375580	164388379
11	34376480	34378599
4	57916650	57925049
12	117497630	117509979
6	160120930	160124029
11	76332900	76343079
18	13434350	13438629
17	36596650	36600979
19	6237600	6239899
19	457930	462449
19	14669150	14676799
3	148672880	148675429
3	40330400	40337099
7	73701450	73706329
16	66638980	66641179
6	125541500	125546599
12	58001480	58008899
5	172899450	172902129
5	90414500	90422099
15	95808780	95811329
2	102652780	102655399
22	47043950	47051899
12	111798800	111802499
10	34006750	34010979
4	7911380	7913399
13	24331350	24334829
6	76328650	76331249
16	1828450	1830549
1	12078850	12081379
6	90805730	90809579
13	33045650	33047649
5	176888900	176890899
7	102534950	102536949
16	55511550	55515729
11	65135580	65140999
8	142094950	142100049
19	2126280	2130749
17	8582780	8585849
14	92354900	92359399
16	73096450	73107049
20	60980500	60982679
1	230998100	231006049
10	4982300	4985049
8	103936200	103939679
4	153603800	153605849
17	57922150	57925229
16	85174900	85178229
19	38662230	38666779
3	64198650	64204749
10	121016430	121018499
19	4012880	4016479
1	146555500	146557499
15	40730530	40733399
6	75911500	75917579
